"","Metal","Target Protein Name","Antibody Clone"
"1","Y89","MPO","Polyclonal MPO"
"2","In113","Histone H3","D1H2"
"3","In115","SMA","1A4"
"4","Pr141","CD16","EPR16784"
"5","Nd142","CD38","EPR4106"
"6","Nd143","HLA-DR","TAL 1B5"
"7","Nd144","CD27","Polyclonal_CD27 / TNFRSF7"
"8","Nd145","CD15","HI98"
"9","Nd146","CD45RA","HI100"
"10","Sm147","CD163","EDHu-1"
"11","Nd148","B2M","D8P1H"
"12","Sm149","CD20","L26"
"13","Nd150","CD68","KP1"
"14","Eu151","IDO1","SP260"
"15","Sm152","CD3","polyclonal_A0452"
"16","Eu153","LAG3","D2G4O"
"17","Sm154","CD11c","D3V1E"
"18","Gd155","PD-1","D4W2J"
"19","Gd156","PDGFRb","Y92"
"20","Gd158","CD7","EPR4242"
"21","Tb159","GranzymeB","D6E9W"
"22","Gd160","PD-L1","73-10"
"23","Dy161","TCF1/TCF7","C63D9"
"24","Dy162","CD45RO","UCHL1"
"25","Dy163","FOXP3","236A/E7"
"26","Dy164","ICOS","D1K2T"
"27","Ho165","CD8a","C8/144B"
"28","Er166","CarbonicAnhydrase","polyclonal_CA9_AF2188"
"29","Er167","CD33","996810"
"30","Er168","Ki-67","B56"
"31","Tm169","VISTA","D1L2G"
"32","Er170","CD40","EPR20735"
"33","Yb171","CD4","EPR6855"
"34","Yb172","CD14","SP192"
"35","Yb173","E-Cad/P-Cad","36/E-Cadherin"
"36","Yb174","CD303","Polyclonal_DLEC / CLEC4C / BDCA-2"
"37","Lu175","CD206","685645"
"38","Yb176","cleavedPARP","F21-852"
"39","Ir191","Ir191","Ir"
"40","Ir193","Ir193","Ir"
